0:00:00.000;0;0.00.00_Mar 27 2024_15:37:01 PID=15,5,15;
0:00:04.560;3240;OK;-0.86;2.16;0.12
0:00:07.880;3200;OK;-0.15;1.25;0.31
0:00:11.320;3160;OK;-0.18;1.18;0.51
0:00:14.760;3440;OK;-0.04;1.05;0.53
0:00:18.120;3320;OK;-0.02;1.04;0.52
0:00:21.240;3040;OK;0.06;1.01;0.52
0:00:24.640;3160;OK;0.08;1.00;0.52
0:00:28.360;3600;OK;0.05;0.98;0.52
0:00:31.880;3440;OK;-0.10;1.06;0.52
0:00:35.240;3280;OK;-0.11;1.06;0.52
0:00:38.520;3240;OK;-0.08;1.01;0.52
0:00:41.840;3240;OK;-0.07;1.01;0.52
0:00:45.080;3200;OK;-0.31;1.07;0.48
0:00:48.240;3160;OK;-0.42;1.10;0.43
0:00:51.480;3200;OK;-0.27;1.08;0.43
0:00:54.880;3360;OK;-0.17;1.06;0.47
0:00:58.240;3320;OK;-0.12;1.03;0.51
0:01:08.280;0;Stop;
0:01:08.280;68;Summary;0;0;
